,0
0,0.617
1,0.7331666666666666
2,0.7874166666666667
3,0.8069166666666666
4,0.8189166666666666
5,0.824
6,0.8350833333333333
7,0.8416666666666667
8,0.84475
9,0.84825
10,0.84925
11,0.8514166666666667
12,0.8535833333333334
13,0.855
14,0.8561666666666666
15,0.8565833333333334
16,0.8579166666666667
17,0.8605
18,0.86475
19,0.8629166666666667
20,0.8651666666666666
21,0.8661666666666666
22,0.8656666666666667
23,0.8695
24,0.8686666666666667
25,0.86925
26,0.869
27,0.8708333333333333
28,0.873
29,0.8719166666666667
30,0.8720833333333333
31,0.8735
32,0.8740833333333333
33,0.8750833333333333
34,0.8765833333333334
35,0.8768333333333334
36,0.877
37,0.8775
38,0.8768333333333334
39,0.8764166666666666
40,0.87775
41,0.8786666666666667
42,0.8805833333333334
43,0.8815833333333334
44,0.8791666666666667
45,0.8816666666666667
46,0.87975
47,0.8779166666666667
48,0.8808333333333334
49,0.8815
50,0.88225
51,0.8795
52,0.8810833333333333
53,0.8815833333333334
54,0.8825
55,0.88175
56,0.8813333333333333
57,0.8773333333333333
58,0.8796666666666667
59,0.88225
60,0.8840833333333333
61,0.8814166666666666
62,0.88525
63,0.88375
64,0.8823333333333333
65,0.8834166666666666
66,0.8843333333333333
67,0.8859166666666667
68,0.8865833333333333
69,0.88625
70,0.8866666666666667
71,0.8851666666666667
72,0.8846666666666667
73,0.8888333333333334
74,0.8875833333333333
75,0.88625
76,0.88475
77,0.8851666666666667
78,0.8866666666666667
79,0.88575
80,0.887
81,0.8879166666666667
82,0.8885833333333333
83,0.8895
84,0.889
85,0.8895
86,0.8890833333333333
87,0.8895833333333333
88,0.8898333333333334
89,0.888
90,0.88675
91,0.8879166666666667
92,0.8890833333333333
93,0.8893333333333333
94,0.8888333333333334
95,0.8895
96,0.8901666666666667
97,0.8875
98,0.8889166666666667
99,0.8896666666666667
100,0.8871666666666667
101,0.8906666666666667
102,0.88925
103,0.8900833333333333
104,0.8886666666666667
105,0.89025
106,0.889
107,0.8875
108,0.8915
109,0.8911666666666667
