,0
0,0.6167291666666667
1,0.7397291666666667
2,0.7933541666666667
3,0.8114583333333333
4,0.8253958333333333
5,0.82775
6,0.8393958333333333
7,0.8429375
8,0.848875
9,0.851375
10,0.8552083333333333
11,0.8573333333333333
12,0.8598125
13,0.8619166666666667
14,0.8646458333333333
15,0.8663333333333333
16,0.8654375
17,0.8697916666666666
18,0.8705
19,0.8733958333333334
20,0.87375
21,0.8771041666666667
22,0.8773333333333333
23,0.8789791666666666
24,0.8802916666666667
25,0.881875
26,0.8817708333333333
27,0.8847916666666666
28,0.8872291666666666
29,0.8867916666666666
30,0.8860416666666666
31,0.888875
32,0.8902083333333334
33,0.892
34,0.8924791666666667
35,0.8938958333333333
36,0.8942291666666666
37,0.895875
38,0.8957916666666667
39,0.8961041666666667
40,0.8969583333333333
41,0.8990833333333333
42,0.9005833333333333
43,0.9006875
44,0.9022916666666667
45,0.9021041666666667
46,0.9030625
47,0.903375
48,0.90525
49,0.9035625
50,0.905875
51,0.9056458333333334
52,0.9057916666666667
53,0.9078541666666666
54,0.9095
55,0.9092708333333334
56,0.910875
57,0.9075833333333333
58,0.9099583333333333
59,0.9125833333333333
60,0.9139583333333333
61,0.9131041666666667
62,0.9155833333333333
63,0.9140208333333333
64,0.917125
65,0.9154583333333334
66,0.9156875
67,0.9178541666666666
68,0.9182916666666666
69,0.9200833333333334
70,0.9201458333333333
71,0.9196041666666667
72,0.9185416666666667
73,0.92175
74,0.9229375
75,0.9220208333333333
76,0.9223541666666667
77,0.9223958333333333
78,0.9246666666666666
79,0.9223958333333333
80,0.9256041666666667
81,0.9259375
82,0.9271041666666666
83,0.9274375
84,0.9261041666666666
85,0.9283541666666667
86,0.9268958333333334
87,0.92875
88,0.9307291666666667
89,0.9292083333333333
90,0.928
91,0.92925
92,0.9317916666666667
93,0.9331666666666667
94,0.9319375
95,0.9312291666666667
96,0.9344791666666666
97,0.9333125
98,0.934375
99,0.9360416666666667
100,0.9325416666666667
101,0.9361666666666667
102,0.9342291666666667
103,0.93725
104,0.9376875
105,0.9378125
106,0.9383333333333334
107,0.9356875
108,0.940125
109,0.9406041666666667
