,0
0,1.7102330013977647
1,0.8076528001865184
2,0.638179621241348
3,0.554643095434158
4,0.5120787286030941
5,0.4831910308358766
6,0.4645602943149564
7,0.4496339490118665
8,0.43779731125976507
9,0.42717779844665643
10,0.4181874906210796
11,0.40924420247750687
12,0.40230347846093706
13,0.39508608914716964
14,0.38891820515602293
15,0.38317831672248653
16,0.37757563878941847
17,0.37238563041603623
18,0.36733200729293936
19,0.36234931580568946
20,0.35841088248857217
21,0.3544945746345369
22,0.3499157998445353
23,0.3455953887921679
24,0.3420336315902735
25,0.33824230907116865
26,0.33475493789017835
27,0.3311888616380966
28,0.3278250142039428
29,0.32438669352085225
30,0.32164832665158216
31,0.31893211428902807
32,0.31636246131762
33,0.3126220251426191
34,0.30991172247100035
35,0.3063997378643521
36,0.30447935274076743
37,0.3016456409162003
38,0.2991663561478139
39,0.29624673021272624
40,0.2931918724020708
41,0.29138477547243136
42,0.2890839835598836
43,0.28611649245056664
44,0.28401986383136674
45,0.28138982812579927
46,0.2795520626867629
47,0.2771681263257632
48,0.27438927958918335
49,0.27229557424131917
50,0.2706789929216992
51,0.2685847738080325
52,0.26658421973969426
53,0.2645068493837502
54,0.2619608178141254
55,0.2606499863925664
56,0.25896762022060865
57,0.2571564369607621
58,0.25488931824757305
59,0.25337605598069185
60,0.25153429899696017
61,0.2496584748608716
62,0.2477099920424209
63,0.24655596440581917
64,0.24377918361647677
65,0.24227887428456074
66,0.24079816748633373
67,0.23948972620277842
68,0.23742831984522939
69,0.2354967012245861
70,0.23450046834780688
71,0.23300067021223778
72,0.23107912303487993
73,0.22937996147073575
74,0.22827838175832604
75,0.22680938964337702
76,0.225152786144964
77,0.2237277758021971
78,0.22291751952154504
79,0.22183203359234546
80,0.21951476918387539
81,0.21762924694705127
82,0.21707839824883046
83,0.21567886991965016
84,0.21431354383278547
85,0.212599842320866
86,0.21092958951002128
87,0.21052503789840735
88,0.2092444783672044
89,0.20753236297707672
90,0.20666297261791547
91,0.20510376308280054
92,0.2036257932714828
93,0.20387916825348001
94,0.2010775217039373
95,0.19986446213935555
96,0.19874384723395988
97,0.19745822548016467
98,0.1961908150953555
99,0.19528912408718227
100,0.1941359412718667
101,0.19300196859473398
102,0.1920849509011448
103,0.19116658680946624
104,0.18953055189969037
105,0.18840130645121905
106,0.18753623211556433
107,0.18550005919319001
108,0.1854273684152611
109,0.1838129531240939
